parent_id,student_id,parent_name,gender,email,familyincomerange,numberofchildren,occupation,houseownership,educationlevel,maritalstatus,location,age,workhoursperweek,employmentstatus,transportationmode,internetaccess,qualification,phone_number
parent#74,OGB/2024/73,Kehinde Eze,Male,kehindeeze@gmail.com,"#120, 001 - #200,000",more than 5,Unemployed,Rent,Bachelor's Degree,Married,Urban,45-54,39,Part-time,Car,False,Masters,2342394640559
parent#75,OGB/2024/74,Chinwe Hassan,Female,chinwehassan@gmail.com,">#200,001",5,Employed,Owned,High School,Widowed,Rural,45-54,42,Part-time,Car,False,Diploma,2348979174969
parent#76,OGB/2024/75,Nnamdi Nwosu,Male,nnamdinwosu@gmail.com,">#200,001",2,Employed,Rent,High School,Single,Urban,older,16,Full-time,Bus,False,Diploma,2346827758031
parent#77,OGB/2024/76,Bola Suleiman,Male,bolasuleiman@gmail.com,"<#30,000",3,Employed,Rent,Associate Degree,Married,Rural,45-54,56,Freelance,Bus,False,PhD,2344259564609
parent#78,OGB/2024/77,Bimbo Dada,Male,bimbodada@gmail.com,"#120, 001 - #200,000",1,Employed,Owned,PhD,Widowed,Suburban,55-64,59,Part-time,Bus,False,None,2347581977205
parent#79,OGB/2024/78,Bukola Aiyegbusi,Female,bukolaaiyegbusi@gmail.com,">#200,001",1,Employed,Owned,Master's Degree,Single,Rural,45-54,27,Freelance,Bus,True,PhD,2343118065477
parent#80,OGB/2024/79,Doyin Obi,Male,doyinobi@gmail.com,">#200,001",more than 5,Self Employed,Owned,Master's Degree,Divorced,Rural,45-54,43,Full-time,Bike,False,PhD,2343415641122
parent#81,OGB/2024/80,Fisayo Aiyegbusi,Female,fisayoaiyegbusi@gmail.com,"<#30,000",1,Unemployed,Owned,Master's Degree,Divorced,Urban,25-34,36,Part-time,Bike,True,Diploma,2343962364793
parent#82,OGB/2024/81,Ifeanyichukwu Abubakar,Male,ifeanyichukwuabubakar@gmail.com,"#70, 001 - #120,000",2,Employed,Rent,Bachelor's Degree,Widowed,Urban,25-34,45,Part-time,Trekking,False,Diploma,2344847969893
parent#83,OGB/2024/82,Bola Nwankwo,Female,bolanwankwo@gmail.com,"#120, 001 - #200,000",5,Self Employed,Owned,Bachelor's Degree,Divorced,Rural,25-34,55,Full-time,Trekking,True,Masters,2346288412270
parent#84,OGB/2024/83,Ugo Aiyegbusi,Male,ugoaiyegbusi@gmail.com,"#30,001 - #70,000",2,Employed,Rent,PhD,Married,Suburban,55-64,57,Full-time,Car,False,PhD,2344721810600
parent#85,OGB/2024/84,Funke Eze,Male,funkeeze@gmail.com,"#30,001 - #70,000",5,Employed,Owned,High School,Single,Suburban,35-44,40,Freelance,Bike,False,PhD,2346175261010
parent#86,OGB/2024/85,Nkemdilim Obadiah,Female,nkemdilimobadiah@gmail.com,"#120, 001 - #200,000",4,Self Employed,Rent,Associate Degree,Single,Suburban,older,19,Full-time,Trekking,True,Masters,2341311831661
parent#87,OGB/2024/86,Oluwaseun Obadiah,Male,oluwaseunobadiah@gmail.com,">#200,001",2,Employed,Owned,PhD,Married,Suburban,55-64,13,Freelance,Car,True,Masters,2341582918332
parent#88,OGB/2024/87,Kanyinsola Fadeyi,Male,kanyinsolafadeyi@gmail.com,"#120, 001 - #200,000",5,Employed,Rent,Master's Degree,Divorced,Rural,35-44,60,Part-time,Trekking,True,Diploma,2344169790997
parent#89,OGB/2024/88,Ugo Ibrahim,Male,ugoibrahim@gmail.com,"<#30,000",0,Self Employed,Owned,Master's Degree,Single,Urban,older,56,Part-time,Car,False,Masters,2346233290778
parent#90,OGB/2024/89,Obiageli Ibrahim,Male,obiageliibrahim@gmail.com,"#30,001 - #70,000",0,Unemployed,Owned,Master's Degree,Married,Rural,55-64,41,Part-time,Car,False,Masters,2341415994170
parent#91,OGB/2024/90,Ijeoma Adeyemi,Female,ijeomaadeyemi@gmail.com,"#120, 001 - #200,000",1,Unemployed,Rent,Master's Degree,Divorced,Suburban,45-54,47,Part-time,Bus,False,Bachelors,2342101472470
parent#92,OGB/2024/91,Yemi Ogunleye,Male,yemiogunleye@gmail.com,"<#30,000",4,Unemployed,Rent,Bachelor's Degree,Widowed,Urban,25-34,58,Part-time,Car,False,Bachelors,2342757235114
parent#93,OGB/2024/92,Obinna Nwodo,Female,obinnanwodo@gmail.com,"#70, 001 - #120,000",5,Employed,Owned,Bachelor's Degree,Widowed,Urban,55-64,17,Full-time,Bus,False,Bachelors,2349552635305
parent#94,OGB/2024/93,Ekene Ibrahim,Female,ekeneibrahim@gmail.com,"#120, 001 - #200,000",4,Unemployed,Owned,PhD,Divorced,Rural,older,26,Part-time,Bus,True,None,2349116635925
parent#95,OGB/2024/94,Bola Abiola,Male,bolaabiola@gmail.com,"#120, 001 - #200,000",3,Unemployed,Owned,Bachelor's Degree,Widowed,Rural,older,44,Freelance,Trekking,False,Bachelors,2344835847054
parent#96,OGB/2024/95,Opeyemi Idowu,Male,opeyemiidowu@gmail.com,"#120, 001 - #200,000",5,Unemployed,Rent,PhD,Widowed,Suburban,older,0,Freelance,Car,True,Masters,2345696473543
parent#97,OGB/2024/96,Chika Abiola,Male,chikaabiola@gmail.com,"<#30,000",2,Employed,Owned,High School,Married,Suburban,55-64,26,Part-time,Bike,False,Bachelors,2344966690762
parent#98,OGB/2024/97,Chukwuemeka Okafor,Male,chukwuemekaokafor@gmail.com,"#70, 001 - #120,000",more than 5,Unemployed,Rent,PhD,Divorced,Rural,older,52,Freelance,Car,False,Diploma,2343627549477
parent#99,OGB/2024/98,Chinwe Hassan,Female,chinwehassan@gmail.com,"#30,001 - #70,000",5,Self Employed,Owned,Associate Degree,Divorced,Rural,older,26,Full-time,Bike,True,Masters,2342035989065
parent#100,OGB/2024/99,Damilola Johnson,Female,damilolajohnson@gmail.com,">#200,001",1,Employed,Owned,Associate Degree,Divorced,Rural,55-64,24,Part-time,Bus,False,Masters,2344129590603
parent#101,OGB/2024/100,Chukwuemeka Ogunleye,Male,chukwuemekaogunleye@gmail.com,"#70, 001 - #120,000",1,Self Employed,Rent,Bachelor's Degree,Divorced,Suburban,25-34,17,Freelance,Trekking,False,Bachelors,2345261711194
parent#102,OGB/2024/101,Ifeanyichukwu Nduka,Male,ifeanyichukwunduka@gmail.com,"#70, 001 - #120,000",2,Self Employed,Owned,Associate Degree,Widowed,Urban,older,53,Full-time,Bus,False,PhD,2348712568483
parent#103,OGB/2024/102,Bimbo Adesina,Male,bimboadesina@gmail.com,"#70, 001 - #120,000",5,Unemployed,Owned,Master's Degree,Single,Suburban,25-34,57,Full-time,Bus,False,PhD,2349106614502
parent#104,OGB/2024/103,Olamide Obadiah,Male,olamideobadiah@gmail.com,"#70, 001 - #120,000",0,Employed,Rent,PhD,Widowed,Rural,older,12,Freelance,Car,True,PhD,2341429898519
parent#105,OGB/2024/104,Damilola Chukwuma,Male,damilolachukwuma@gmail.com,"#120, 001 - #200,000",1,Unemployed,Rent,Master's Degree,Widowed,Suburban,25-34,52,Full-time,Bike,True,None,2347767471712
parent#106,OGB/2024/105,Chinwe Adebayo,Male,chinweadebayo@gmail.com,"#30,001 - #70,000",1,Unemployed,Rent,Master's Degree,Single,Urban,older,49,Freelance,Bike,True,Masters,2345295366353
parent#107,OGB/2024/106,Damilola Obinna,Male,damilolaobinna@gmail.com,"<#30,000",2,Unemployed,Owned,Bachelor's Degree,Single,Rural,25-34,31,Freelance,Bike,True,Diploma,2348285892694
parent#108,OGB/2024/107,Uche Ogundipe,Female,ucheogundipe@gmail.com,"#120, 001 - #200,000",3,Employed,Rent,High School,Widowed,Suburban,25-34,16,Full-time,Trekking,False,Diploma,2349309279227
parent#109,OGB/2024/108,Kehinde Akinyemi,Male,kehindeakinyemi@gmail.com,"<#30,000",1,Self Employed,Owned,PhD,Divorced,Urban,35-44,38,Part-time,Bus,True,Diploma,2348530483779
parent#110,OGB/2024/109,Bukola Tajudeen,Male,bukolatajudeen@gmail.com,"<#30,000",0,Self Employed,Owned,Master's Degree,Widowed,Urban,45-54,0,Part-time,Bus,True,Bachelors,2341705638884
parent#111,OGB/2024/110,Damilola Obi,Male,damilolaobi@gmail.com,"<#30,000",5,Unemployed,Owned,Bachelor's Degree,Married,Urban,older,40,Full-time,Bike,True,None,2344173554352
parent#112,OGB/2024/111,Ayo Balogun,Male,ayobalogun@gmail.com,"#30,001 - #70,000",3,Unemployed,Owned,Associate Degree,Married,Suburban,older,44,Part-time,Bike,False,None,2343455450949
parent#113,OGB/2024/112,Aderonke Abiola,Female,aderonkeabiola@gmail.com,"#70, 001 - #120,000",3,Employed,Rent,High School,Widowed,Suburban,55-64,25,Part-time,Bus,True,PhD,2348160992941
parent#114,OGB/2024/113,Amina Ojo,Male,aminaojo@gmail.com,">#200,001",2,Self Employed,Rent,Bachelor's Degree,Divorced,Urban,55-64,2,Part-time,Bike,False,Masters,2341826972878
parent#115,OGB/2024/114,Damilola Adeyemi,Male,damilolaadeyemi@gmail.com,">#200,001",0,Unemployed,Owned,Master's Degree,Married,Suburban,25-34,44,Full-time,Bike,True,Diploma,2344531811853
parent#116,OGB/2024/115,Ololade Adesina,Male,ololadeadesina@gmail.com,"#70, 001 - #120,000",1,Unemployed,Owned,Bachelor's Degree,Single,Urban,45-54,49,Freelance,Trekking,True,Bachelors,2349784084995
parent#117,OGB/2024/116,Ijeoma Onyekachi,Female,ijeomaonyekachi@gmail.com,"#70, 001 - #120,000",2,Employed,Rent,Master's Degree,Divorced,Rural,55-64,28,Freelance,Car,False,PhD,2341770480897
parent#118,OGB/2024/117,Adebisi Nwodo,Female,adebisinwodo@gmail.com,"#30,001 - #70,000",0,Unemployed,Owned,Associate Degree,Divorced,Rural,55-64,8,Part-time,Bike,True,Masters,2344553129661
parent#119,OGB/2024/118,Duru Obinna,Male,duruobinna@gmail.com,">#200,001",1,Self Employed,Rent,PhD,Divorced,Suburban,older,42,Freelance,Trekking,True,Diploma,2341848877400
parent#120,OGB/2024/119,Kanyinsola Ogunleye,Female,kanyinsolaogunleye@gmail.com,"#120, 001 - #200,000",5,Self Employed,Rent,PhD,Divorced,Rural,older,44,Part-time,Car,True,Masters,2346561982502
parent#121,OGB/2024/120,Ada Ezeani,Female,adaezeani@gmail.com,"#30,001 - #70,000",more than 5,Employed,Owned,Associate Degree,Widowed,Suburban,25-34,14,Part-time,Trekking,True,PhD,2349853109380
parent#122,OGB/2024/121,Obinna Uba,Female,obinnauba@gmail.com,">#200,001",more than 5,Employed,Rent,Master's Degree,Widowed,Rural,55-64,4,Part-time,Trekking,True,Bachelors,2342930446141
parent#123,OGB/2024/122,Doyin Adebayo,Male,doyinadebayo@gmail.com,"#120, 001 - #200,000",0,Unemployed,Rent,Bachelor's Degree,Married,Rural,55-64,40,Freelance,Bus,False,Bachelors,2343657065261
parent#124,OGB/2024/123,Obiageli Tajudeen,Male,obiagelitajudeen@gmail.com,"#30,001 - #70,000",4,Unemployed,Rent,Associate Degree,Single,Urban,25-34,7,Part-time,Bus,False,Bachelors,2341135252403
parent#125,OGB/2024/124,Kehinde Tajudeen,Male,kehindetajudeen@gmail.com,">#200,001",2,Self Employed,Owned,High School,Single,Rural,35-44,7,Part-time,Car,False,PhD,2344109822170
parent#126,OGB/2024/125,Temitope Ajibola,Female,temitopeajibola@gmail.com,"#120, 001 - #200,000",3,Unemployed,Owned,Associate Degree,Divorced,Suburban,older,10,Freelance,Car,False,Diploma,2348563835154
parent#127,OGB/2024/126,Chidera Chukwuma,Male,chiderachukwuma@gmail.com,"<#30,000",4,Employed,Owned,Master's Degree,Widowed,Rural,35-44,57,Part-time,Trekking,True,Masters,2342854663638
parent#128,OGB/2024/127,Duru Ojo,Male,duruojo@gmail.com,">#200,001",0,Self Employed,Rent,Bachelor's Degree,Widowed,Rural,25-34,50,Full-time,Car,True,Diploma,2343954581592
parent#129,OGB/2024/128,Obiageli Kalu,Male,obiagelikalu@gmail.com,"#120, 001 - #200,000",3,Self Employed,Rent,PhD,Married,Urban,45-54,31,Part-time,Bus,True,Diploma,2345978162882
parent#130,OGB/2024/129,Doyin Nwankwo,Male,doyinnwankwo@gmail.com,"#30,001 - #70,000",more than 5,Unemployed,Rent,Associate Degree,Divorced,Urban,25-34,4,Freelance,Bus,False,Diploma,2342623867626
