student_id,student_name,class,age,gender,ethnicity,disability_status,family_size,favorite_subjects,access_to_constant_electricity,on_scholarship,sleep,average_study_time,enjoy_reading,enjoy_dancing,enjoy_socialising,anxiety_before_during_exams,distance_to_school,mode_of_transportation,parent_id,parent_name,gender_parent,email,familyincomerange,numberofchildren,occupation,houseownership,educationlevel,maritalstatus,location,age_parent,workhoursperweek,employmentstatus,transportationmode,internetaccess,qualification,phone_number,academic_record_id,subject_id,attendance_percentage,assignment_score,exam_score,final_grade,evaluation_id,evaluation_date,comments,point,subject,totaldayspresent,attendancepercentage_overall,target
OGB/2024/2,Bukola Obi,Jss 2,11,Male,Hausa,True,3,Business Studies,False,True,>8 hours,2 - 3 hours,False,False,True,True,very close,tricycle,parent#3,Ifeanyichukwu Obi,Male,ifeanyichukwuobi@gmail.com,"<#30,000",3,Employed,Rent,Master's Degree,Divorced,Rural,25-34,3,Freelance,Trekking,False,PhD,2343882025167,27,subject_23,73.19,85.14,52.17,63.84,18,2024-10-05,Excellent performance,10,Literature in English,59,84.28571428571429,Pass
OGB/2024/2,Bukola Obi,Jss 2,11,Male,Hausa,True,3,Business Studies,False,True,>8 hours,2 - 3 hours,False,False,True,True,very close,tricycle,parent#3,Ifeanyichukwu Obi,Male,ifeanyichukwuobi@gmail.com,"<#30,000",3,Employed,Rent,Master's Degree,Divorced,Rural,25-34,3,Freelance,Trekking,False,PhD,2343882025167,28,subject_26,58.84,43.94,49.96,51.5,19,2024-09-25,Excellent performance,10,Financial Accounting,59,84.28571428571429,Fail
OGB/2024/3,Ada Abiola,SS3,14,Male,Hausa,False,1,Business Studies,True,True,>8 hours,4 - 6 hours,False,False,True,False,far,tricycle,parent#4,Uche Chukwuma,Male,uchechukwuma@gmail.com,"#30,001 - #70,000",1,Unemployed,Owned,Associate Degree,Married,Urban,55-64,19,Full-time,Trekking,True,Masters,2341172684301,29,subject_27,53.34,44.84,79.15,67.88,30,2024-09-28,Below average performance,2,French,55,78.57142857142857,Fail
OGB/2024/3,Ada Abiola,SS3,14,Male,Hausa,False,1,Business Studies,True,True,>8 hours,4 - 6 hours,False,False,True,False,far,tricycle,parent#4,Uche Chukwuma,Male,uchechukwuma@gmail.com,"#30,001 - #70,000",1,Unemployed,Owned,Associate Degree,Married,Urban,55-64,19,Full-time,Trekking,True,Masters,2341172684301,32,subject_6,90.84,87.95,75.36,81.59,35,2024-09-11,Below average performance,2,Agricultural Science,55,78.57142857142857,Pass
OGB/2024/3,Ada Abiola,SS3,14,Male,Hausa,False,1,Business Studies,True,True,>8 hours,4 - 6 hours,False,False,True,False,far,tricycle,parent#4,Uche Chukwuma,Male,uchechukwuma@gmail.com,"#30,001 - #70,000",1,Unemployed,Owned,Associate Degree,Married,Urban,55-64,19,Full-time,Trekking,True,Masters,2341172684301,35,subject_22,96.6,95.0,78.61,82.62,31,2024-10-01,Fair performance,6,Government,55,78.57142857142857,Pass
OGB/2024/3,Ada Abiola,SS3,14,Male,Hausa,False,1,Business Studies,True,True,>8 hours,4 - 6 hours,False,False,True,False,far,tricycle,parent#4,Uche Chukwuma,Male,uchechukwuma@gmail.com,"#30,001 - #70,000",1,Unemployed,Owned,Associate Degree,Married,Urban,55-64,19,Full-time,Trekking,True,Masters,2341172684301,36,subject_28,79.51,58.48,48.27,56.43,32,2024-09-29,Fair performance,6,Christian Religious Studies,55,78.57142857142857,Fail
OGB/2024/4,Obinna Okeke,SS2,14,Female,Hausa,True,3,Business Studies,True,True,>8 hours,4 - 6 hours,False,True,False,False,close,private/family car,parent#5,Tobi Balogun,Female,tobibalogun@gmail.com,"#120, 001 - #200,000",2,Employed,Owned,Associate Degree,Divorced,Suburban,35-44,24,Full-time,Bus,True,None,2345287000043,37,subject_5,99.0,96.45,96.08,96.81,39,2024-09-27,Excellent performance,10,Civic Education,65,92.85714285714286,Pass
OGB/2024/4,Obinna Okeke,SS2,14,Female,Hausa,True,3,Business Studies,True,True,>8 hours,4 - 6 hours,False,True,False,False,close,private/family car,parent#5,Tobi Balogun,Female,tobibalogun@gmail.com,"#120, 001 - #200,000",2,Employed,Owned,Associate Degree,Divorced,Suburban,35-44,24,Full-time,Bus,True,None,2345287000043,43,subject_6,76.4,65.87,46.51,54.63,42,2024-09-16,Excellent performance,10,Agricultural Science,65,92.85714285714286,Fail
OGB/2024/4,Obinna Okeke,SS2,14,Female,Hausa,True,3,Business Studies,True,True,>8 hours,4 - 6 hours,False,True,False,False,close,private/family car,parent#5,Tobi Balogun,Female,tobibalogun@gmail.com,"#120, 001 - #200,000",2,Employed,Owned,Associate Degree,Divorced,Suburban,35-44,24,Full-time,Bus,True,None,2345287000043,45,subject_2,90.36,77.72,53.64,63.27,37,2024-10-02,Fair performance,6,English Language,65,92.85714285714286,Pass
OGB/2024/5,Chinyere Uba,Jss 2,13,Female,Yoruba,True,3,History,True,True,>8 hours,4 - 6 hours,True,True,False,True,far,school bus,parent#6,Chinwe Okeke,Female,chinweokeke@gmail.com,"#30,001 - #70,000",0,Self Employed,Rent,Master's Degree,Divorced,Urban,35-44,12,Full-time,Trekking,False,Masters,2344199235874,49,subject_16,83.13,42.93,68.92,66.98,45,2024-09-26,Excellent performance,10,Further Mathematics,56,80.0,Fail
OGB/2024/5,Chinyere Uba,Jss 2,13,Female,Yoruba,True,3,History,True,True,>8 hours,4 - 6 hours,True,True,False,True,far,school bus,parent#6,Chinwe Okeke,Female,chinweokeke@gmail.com,"#30,001 - #70,000",0,Self Employed,Rent,Master's Degree,Divorced,Urban,35-44,12,Full-time,Trekking,False,Masters,2344199235874,51,subject_26,59.41,88.33,76.28,76.1,47,2024-09-07,Below average performance,2,Financial Accounting,56,80.0,Pass
OGB/2024/5,Chinyere Uba,Jss 2,13,Female,Yoruba,True,3,History,True,True,>8 hours,4 - 6 hours,True,True,False,True,far,school bus,parent#6,Chinwe Okeke,Female,chinweokeke@gmail.com,"#30,001 - #70,000",0,Self Employed,Rent,Master's Degree,Divorced,Urban,35-44,12,Full-time,Trekking,False,Masters,2344199235874,54,subject_24,57.66,73.83,79.43,74.94,52,2024-09-20,Excellent performance,10,Computer Studies,56,80.0,Pass
OGB/2024/5,Chinyere Uba,Jss 2,13,Female,Yoruba,True,3,History,True,True,>8 hours,4 - 6 hours,True,True,False,True,far,school bus,parent#6,Chinwe Okeke,Female,chinweokeke@gmail.com,"#30,001 - #70,000",0,Self Employed,Rent,Master's Degree,Divorced,Urban,35-44,12,Full-time,Trekking,False,Masters,2344199235874,55,subject_21,75.32,47.09,47.15,51.19,54,2024-09-15,Excellent performance,10,History,56,80.0,Fail
OGB/2024/6,Doyin Onyekachi,Jss 2,13,Female,Yoruba,True,0,Chemistry,True,True,>8 hours,1 - 2 hours,True,True,True,True,very far,tricycle,parent#7,Damilola Akinyemi,Female,damilolaakinyemi@gmail.com,"#120, 001 - #200,000",3,Self Employed,Owned,High School,Widowed,Suburban,55-64,22,Part-time,Bike,False,PhD,2344140705527,62,subject_5,79.19,81.18,68.31,75.34,63,2024-10-06,Excellent performance,10,Civic Education,55,78.57142857142857,Pass
OGB/2024/6,Doyin Onyekachi,Jss 2,13,Female,Yoruba,True,0,Chemistry,True,True,>8 hours,1 - 2 hours,True,True,True,True,very far,tricycle,parent#7,Damilola Akinyemi,Female,damilolaakinyemi@gmail.com,"#120, 001 - #200,000",3,Self Employed,Owned,High School,Widowed,Suburban,55-64,22,Part-time,Bike,False,PhD,2344140705527,65,subject_1,63.18,74.97,42.22,51.77,64,2024-09-08,Very bad performance,0,Mathematics,55,78.57142857142857,Fail
OGB/2024/7,Ihuoma Tajudeen,SS1,15,Female,Igbo,True,2,Agricultural Science,True,True,6 - 8 hours,4 - 6 hours,True,True,True,True,close,trekking,parent#8,Nnamdi Abubakar,Female,nnamdiabubakar@gmail.com,"#70, 001 - #120,000",5,Employed,Rent,High School,Divorced,Rural,35-44,34,Full-time,Car,True,Masters,2348233017721,66,subject_29,94.78,63.5,85.88,82.44,67,2024-09-19,Good performance,8,Islamic Religious Studies,55,78.57142857142857,Pass
OGB/2024/7,Ihuoma Tajudeen,SS1,15,Female,Igbo,True,2,Agricultural Science,True,True,6 - 8 hours,4 - 6 hours,True,True,True,True,close,trekking,parent#8,Nnamdi Abubakar,Female,nnamdiabubakar@gmail.com,"#70, 001 - #120,000",5,Employed,Rent,High School,Divorced,Rural,35-44,34,Full-time,Car,True,Masters,2348233017721,67,subject_28,83.86,83.23,46.4,58.58,68,2024-09-18,Very bad performance,0,Christian Religious Studies,55,78.57142857142857,Fail
OGB/2024/7,Ihuoma Tajudeen,SS1,15,Female,Igbo,True,2,Agricultural Science,True,True,6 - 8 hours,4 - 6 hours,True,True,True,True,close,trekking,parent#8,Nnamdi Abubakar,Female,nnamdiabubakar@gmail.com,"#70, 001 - #120,000",5,Employed,Rent,High School,Divorced,Rural,35-44,34,Full-time,Car,True,Masters,2348233017721,68,subject_17,62.32,56.27,91.02,80.66,74,2024-09-10,Excellent performance,10,Economics,55,78.57142857142857,Pass
OGB/2024/7,Ihuoma Tajudeen,SS1,15,Female,Igbo,True,2,Agricultural Science,True,True,6 - 8 hours,4 - 6 hours,True,True,True,True,close,trekking,parent#8,Nnamdi Abubakar,Female,nnamdiabubakar@gmail.com,"#70, 001 - #120,000",5,Employed,Rent,High School,Divorced,Rural,35-44,34,Full-time,Car,True,Masters,2348233017721,72,subject_24,83.48,44.3,68.44,69.5,65,2024-10-04,Average performance,4,Computer Studies,55,78.57142857142857,Fail
OGB/2024/7,Ihuoma Tajudeen,SS1,15,Female,Igbo,True,2,Agricultural Science,True,True,6 - 8 hours,4 - 6 hours,True,True,True,True,close,trekking,parent#8,Nnamdi Abubakar,Female,nnamdiabubakar@gmail.com,"#70, 001 - #120,000",5,Employed,Rent,High School,Divorced,Rural,35-44,34,Full-time,Car,True,Masters,2348233017721,73,subject_6,94.15,62.67,88.31,87.06,72,2024-10-03,Fair performance,6,Agricultural Science,55,78.57142857142857,Pass
OGB/2024/7,Ihuoma Tajudeen,SS1,15,Female,Igbo,True,2,Agricultural Science,True,True,6 - 8 hours,4 - 6 hours,True,True,True,True,close,trekking,parent#8,Nnamdi Abubakar,Female,nnamdiabubakar@gmail.com,"#70, 001 - #120,000",5,Employed,Rent,High School,Divorced,Rural,35-44,34,Full-time,Car,True,Masters,2348233017721,75,subject_16,63.41,75.12,71.48,71.23,69,2024-09-16,Below average performance,2,Further Mathematics,55,78.57142857142857,Pass
OGB/2024/8,Fola Ojo,SS1,15,Female,Igbo,True,2,Computer Studies,True,True,>8 hours,1 - 2 hours,True,True,True,True,far,school bus,parent#9,Tobi Olaniyi,Female,tobiolaniyi@gmail.com,"<#30,000",4,Self Employed,Owned,Bachelor's Degree,Divorced,Rural,35-44,3,Freelance,Bike,True,None,2346231852874,76,subject_14,96.94,50.01,52.84,61.94,77,2024-09-30,Excellent performance,10,Chemistry,62,88.57142857142857,Pass
OGB/2024/8,Fola Ojo,SS1,15,Female,Igbo,True,2,Computer Studies,True,True,>8 hours,1 - 2 hours,True,True,True,True,far,school bus,parent#9,Tobi Olaniyi,Female,tobiolaniyi@gmail.com,"<#30,000",4,Self Employed,Owned,Bachelor's Degree,Divorced,Rural,35-44,3,Freelance,Bike,True,None,2346231852874,78,subject_26,67.54,60.08,61.11,60.26,83,2024-09-23,Good performance,8,Financial Accounting,62,88.57142857142857,Pass
OGB/2024/8,Fola Ojo,SS1,15,Female,Igbo,True,2,Computer Studies,True,True,>8 hours,1 - 2 hours,True,True,True,True,far,school bus,parent#9,Tobi Olaniyi,Female,tobiolaniyi@gmail.com,"<#30,000",4,Self Employed,Owned,Bachelor's Degree,Divorced,Rural,35-44,3,Freelance,Bike,True,None,2346231852874,79,subject_28,88.02,86.9,98.75,91.37,75,2024-09-20,Excellent performance,10,Christian Religious Studies,62,88.57142857142857,Pass
OGB/2024/8,Fola Ojo,SS1,15,Female,Igbo,True,2,Computer Studies,True,True,>8 hours,1 - 2 hours,True,True,True,True,far,school bus,parent#9,Tobi Olaniyi,Female,tobiolaniyi@gmail.com,"<#30,000",4,Self Employed,Owned,Bachelor's Degree,Divorced,Rural,35-44,3,Freelance,Bike,True,None,2346231852874,80,subject_17,83.59,57.32,66.09,69.65,79,2024-09-29,Below average performance,2,Economics,62,88.57142857142857,Pass
OGB/2024/8,Fola Ojo,SS1,15,Female,Igbo,True,2,Computer Studies,True,True,>8 hours,1 - 2 hours,True,True,True,True,far,school bus,parent#9,Tobi Olaniyi,Female,tobiolaniyi@gmail.com,"<#30,000",4,Self Employed,Owned,Bachelor's Degree,Divorced,Rural,35-44,3,Freelance,Bike,True,None,2346231852874,82,subject_24,85.15,80.73,83.19,80.49,80,2024-09-14,Excellent performance,10,Computer Studies,62,88.57142857142857,Pass
OGB/2024/8,Fola Ojo,SS1,15,Female,Igbo,True,2,Computer Studies,True,True,>8 hours,1 - 2 hours,True,True,True,True,far,school bus,parent#9,Tobi Olaniyi,Female,tobiolaniyi@gmail.com,"<#30,000",4,Self Employed,Owned,Bachelor's Degree,Divorced,Rural,35-44,3,Freelance,Bike,True,None,2346231852874,83,subject_15,55.47,57.05,66.38,61.23,76,2024-10-02,Very bad performance,0,Physics,62,88.57142857142857,Pass
OGB/2024/9,Tobi Olaniyi,Jss 1,10,Female,Hausa,True,1,Mathematics,True,True,6 - 8 hours,1 - 2 hours,False,False,False,False,far,school bus,parent#10,Bimbo Ajibola,Male,bimboajibola@gmail.com,"#120, 001 - #200,000",3,Self Employed,Owned,Associate Degree,Married,Rural,55-64,52,Freelance,Trekking,False,PhD,2345120590842,85,subject_1,67.76,76.95,91.63,81.13,92,2024-09-28,Good performance,8,Mathematics,62,88.57142857142857,Pass
OGB/2024/11,Ifeoma Ogunbiyi,SS3,16,Female,Yoruba,True,4,Business Studies,True,True,6 - 8 hours,<1 hour,False,False,False,True,very far,bicycle,parent#12,Kelechi Ajayi,Male,kelechiajayi@gmail.com,">#200,001",2,Employed,Owned,High School,Single,Rural,55-64,43,Full-time,Bus,True,Diploma,2343799687315,104,subject_6,60.95,52.6,75.77,67.76,110,2024-09-21,Excellent performance,10,Agricultural Science,58,82.85714285714286,Pass
OGB/2024/11,Ifeoma Ogunbiyi,SS3,16,Female,Yoruba,True,4,Business Studies,True,True,6 - 8 hours,<1 hour,False,False,False,True,very far,bicycle,parent#12,Kelechi Ajayi,Male,kelechiajayi@gmail.com,">#200,001",2,Employed,Owned,High School,Single,Rural,55-64,43,Full-time,Bus,True,Diploma,2343799687315,108,subject_1,73.04,58.67,81.54,77.02,105,2024-09-28,Very bad performance,0,Mathematics,58,82.85714285714286,Pass
OGB/2024/13,Jumoke Aiyegbusi,Jss 2,13,Female,Yoruba,True,1,Agricultural Science,True,True,>8 hours,<1 hour,False,True,True,True,very close,trekking,parent#14,Chika Adesina,Male,chikaadesina@gmail.com,"#120, 001 - #200,000",4,Self Employed,Rent,Master's Degree,Divorced,Suburban,older,27,Freelance,Bike,True,Bachelors,2345354065716,127,subject_6,61.73,98.53,54.6,62.23,123,2024-09-07,Fair performance,6,Agricultural Science,61,87.14285714285714,Pass
OGB/2024/14,Bola Adeola,SS3,17,Male,Yoruba,True,4,Civic Education,True,False,>8 hours,> 6 hours,False,False,True,True,close,tricycle,parent#15,Yemi Ogundipe,Male,yemiogundipe@gmail.com,"#30,001 - #70,000",0,Self Employed,Rent,Bachelor's Degree,Widowed,Rural,35-44,47,Freelance,Bus,False,Bachelors,2345754329742,136,subject_1,61.22,87.88,53.25,61.49,130,2024-09-23,Very bad performance,0,Mathematics,57,81.42857142857143,Pass
OGB/2024/15,Bukola Johnson,Jss 3,12,Female,Yoruba,True,3,Civic Education,False,True,>8 hours,3 - 4 hours,True,True,False,True,close,trekking,parent#16,Ada Abiola,Female,adaabiola@gmail.com,"#120, 001 - #200,000",2,Self Employed,Rent,High School,Married,Urban,35-44,32,Part-time,Bus,True,Bachelors,2346181162701,144,subject_27,52.38,63.05,50.64,51.57,142,2024-09-23,Very bad performance,0,French,54,77.14285714285715,Pass
OGB/2024/15,Bukola Johnson,Jss 3,12,Female,Yoruba,True,3,Civic Education,False,True,>8 hours,3 - 4 hours,True,True,False,True,close,trekking,parent#16,Ada Abiola,Female,adaabiola@gmail.com,"#120, 001 - #200,000",2,Self Employed,Rent,High School,Married,Urban,35-44,32,Part-time,Bus,True,Bachelors,2346181162701,145,subject_21,63.45,79.12,53.86,61.68,147,2024-09-24,Excellent performance,10,History,54,77.14285714285715,Pass
OGB/2024/15,Bukola Johnson,Jss 3,12,Female,Yoruba,True,3,Civic Education,False,True,>8 hours,3 - 4 hours,True,True,False,True,close,trekking,parent#16,Ada Abiola,Female,adaabiola@gmail.com,"#120, 001 - #200,000",2,Self Employed,Rent,High School,Married,Urban,35-44,32,Part-time,Bus,True,Bachelors,2346181162701,147,subject_29,59.54,72.07,93.28,79.65,148,2024-09-28,Excellent performance,10,Islamic Religious Studies,54,77.14285714285715,Pass
OGB/2024/15,Bukola Johnson,Jss 3,12,Female,Yoruba,True,3,Civic Education,False,True,>8 hours,3 - 4 hours,True,True,False,True,close,trekking,parent#16,Ada Abiola,Female,adaabiola@gmail.com,"#120, 001 - #200,000",2,Self Employed,Rent,High School,Married,Urban,35-44,32,Part-time,Bus,True,Bachelors,2346181162701,150,subject_2,68.1,61.97,66.33,66.33,140,2024-09-08,Very bad performance,0,English Language,54,77.14285714285715,Pass
OGB/2024/16,Kelechi Uba,SS3,18,Female,Hausa,True,2,Chemistry,True,True,<6 hours,1 - 2 hours,False,False,False,False,close,bicycle,parent#17,Nkechi Nwosu,Female,nkechinwosu@gmail.com,">#200,001",3,Unemployed,Rent,High School,Widowed,Urban,45-54,33,Freelance,Bike,True,Bachelors,2341620123277,151,subject_1,89.32,75.55,53.2,65.66,155,2024-10-02,Excellent performance,10,Mathematics,57,81.42857142857143,Pass
OGB/2024/16,Kelechi Uba,SS3,18,Female,Hausa,True,2,Chemistry,True,True,<6 hours,1 - 2 hours,False,False,False,False,close,bicycle,parent#17,Nkechi Nwosu,Female,nkechinwosu@gmail.com,">#200,001",3,Unemployed,Rent,High School,Widowed,Urban,45-54,33,Freelance,Bike,True,Bachelors,2341620123277,155,subject_2,68.73,46.55,93.32,79.1,154,2024-09-23,Fair performance,6,English Language,57,81.42857142857143,Fail
OGB/2024/16,Kelechi Uba,SS3,18,Female,Hausa,True,2,Chemistry,True,True,<6 hours,1 - 2 hours,False,False,False,False,close,bicycle,parent#17,Nkechi Nwosu,Female,nkechinwosu@gmail.com,">#200,001",3,Unemployed,Rent,High School,Widowed,Urban,45-54,33,Freelance,Bike,True,Bachelors,2341620123277,157,subject_5,58.25,84.0,62.36,63.33,156,2024-09-14,Excellent performance,10,Civic Education,57,81.42857142857143,Pass
OGB/2024/17,Ugo Johnson,SS1,13,Male,Hausa,True,3,English Language,True,True,6 - 8 hours,4 - 6 hours,True,False,False,False,close,tricycle,parent#18,Zainab Nduka,Female,zainabnduka@gmail.com,"<#30,000",1,Unemployed,Rent,PhD,Divorced,Urban,25-34,54,Part-time,Car,True,Masters,2344374115502,161,subject_6,54.65,81.43,45.06,56.19,168,2024-09-21,Excellent performance,10,Agricultural Science,58,82.85714285714286,Fail
OGB/2024/17,Ugo Johnson,SS1,13,Male,Hausa,True,3,English Language,True,True,6 - 8 hours,4 - 6 hours,True,False,False,False,close,tricycle,parent#18,Zainab Nduka,Female,zainabnduka@gmail.com,"<#30,000",1,Unemployed,Rent,PhD,Divorced,Urban,25-34,54,Part-time,Car,True,Masters,2344374115502,163,subject_5,66.43,68.77,78.49,77.13,161,2024-09-14,Excellent performance,10,Civic Education,58,82.85714285714286,Pass
OGB/2024/17,Ugo Johnson,SS1,13,Male,Hausa,True,3,English Language,True,True,6 - 8 hours,4 - 6 hours,True,False,False,False,close,tricycle,parent#18,Zainab Nduka,Female,zainabnduka@gmail.com,"<#30,000",1,Unemployed,Rent,PhD,Divorced,Urban,25-34,54,Part-time,Car,True,Masters,2344374115502,164,subject_1,89.52,88.78,91.36,91.45,162,2024-09-19,Very bad performance,0,Mathematics,58,82.85714285714286,Pass
OGB/2024/18,Chinyere Ogundipe,Jss 2,12,Female,Igbo,True,1,Civic Education,True,True,>8 hours,4 - 6 hours,True,True,True,True,very far,private/family car,parent#19,Chika Obinna,Male,chikaobinna@gmail.com,"<#30,000",1,Self Employed,Rent,Master's Degree,Divorced,Rural,35-44,11,Freelance,Car,True,None,2349026439798,167,subject_10,55.4,56.58,95.29,80.96,177,2024-09-08,Average performance,4,Physical and Health Education,63,90.0,Pass
OGB/2024/18,Chinyere Ogundipe,Jss 2,12,Female,Igbo,True,1,Civic Education,True,True,>8 hours,4 - 6 hours,True,True,True,True,very far,private/family car,parent#19,Chika Obinna,Male,chikaobinna@gmail.com,"<#30,000",1,Self Employed,Rent,Master's Degree,Divorced,Rural,35-44,11,Freelance,Car,True,None,2349026439798,168,subject_8,90.69,81.45,99.97,91.88,178,2024-10-02,Excellent performance,10,Business Studies,63,90.0,Pass
OGB/2024/18,Chinyere Ogundipe,Jss 2,12,Female,Igbo,True,1,Civic Education,True,True,>8 hours,4 - 6 hours,True,True,True,True,very far,private/family car,parent#19,Chika Obinna,Male,chikaobinna@gmail.com,"<#30,000",1,Self Employed,Rent,Master's Degree,Divorced,Rural,35-44,11,Freelance,Car,True,None,2349026439798,169,subject_2,64.62,96.61,40.07,58.84,174,2024-09-10,Excellent performance,10,English Language,63,90.0,Fail
OGB/2024/18,Chinyere Ogundipe,Jss 2,12,Female,Igbo,True,1,Civic Education,True,True,>8 hours,4 - 6 hours,True,True,True,True,very far,private/family car,parent#19,Chika Obinna,Male,chikaobinna@gmail.com,"<#30,000",1,Self Employed,Rent,Master's Degree,Divorced,Rural,35-44,11,Freelance,Car,True,None,2349026439798,170,subject_4,65.08,98.68,88.82,86.17,173,2024-09-11,Excellent performance,10,Basic Technology,63,90.0,Pass
